Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,PLZ,Stadt,Telefon,Mobil,Telefax,E-Mail,Newsletter
15,Herr,Dr.,Luke,Beyer,17.12.1960,Elsa-Brändström-Weg 75,95192,Lichtenberg,09288 / 49538141,0170 / 3493062,09288 / 23988205,l.beyer@mail.xyz,ja
16,Herr,Dr.,Marc,Leng,15.7.1968,Elsa-Brändström-Weg 193,90453,Nürnberg,0911 / 92461530,0177 / 1308319,0911 / 36226312,marc.leng@mail.xyz,ja
17,Herr,Dr.,Rafael,Kalisch,17.3.1939,Meesenstiege 10,87662,Kaltental,08345 / 13651194,0172 / 9522665,08345 / 57290581,r.kalisch@mail.xyz,ja
18,Frau,Dr.,Britta,Harvey,5.8.1937,Angelstr. 52,59969,Hallenberg,02984 / 32191336,0164 / 4536735,02984 / 39793633,b.harvey@mail.xyz,ja
19,Frau,Dr.,Alyssa,Prinz,19.10.1920,Templerweg 58,66871,Ehweiler,06381 / 74492733,0170 / 6822526,06381 / 50729192,a.prinz@mail.xyz,ja
20,Herr,Dr.,Michael,Kiessling,6.3.1998,Zur Gräfte 170,74676,Niedernhall,07940 / 71674775,0169 / 5613761,07940 / 87343882,m.kiessling@mail.xyz,ja
21,Herr,Dr.,Patrik,Wolter,20.6.1941,Böttcherstr. 22,77728,Oppenau,07804 / 50293978,0163 / 4727587,07804 / 83766326,patrik.wolter@mail.xyz,ja
22,Frau,Dr.,Carina,Houston,17.7.1976,Telgenweg 67,16816,Neuruppin,03391 / 13160787,0161 / 8019079,03391 / 67427165,carina.houston@mail.xyz,ja
23,Frau,Prof.,Marlis,Hofmeister,17.3.1928,Max-Winkelmann-Str. 58,97241,Oberpleichfeld,09367 / 99064875,0159 / 8906762,09367 / 6115823,marlis.hofmeister@mail.xyz,ja
24,Frau,Prof.,Katharina,Wessel,12.1.1958,Methweg 43,76534,Baden-Baden,07221 / 39995436,0171 / 9766763,07221 / 90920104,katharina.wessel@mail.xyz,ja
25,Frau,Prof.,Lucy,Büttner,19.5.1961,Willingrott 23,25569,Kremperheide,04824 / 80375057,0175 / 6527630,04824 / 92987627,lucy.buettner@mail.xyz,ja
26,Frau,Dr.,Nike,Ries,7.1.1967,Rüschhausweg 69,03238,Gorden-Staupitz,03533 / 79521434,0161 / 4426293,03533 / 10123972,n.ries@mail.xyz,ja
27,Herr,Dr.,Jürgen,Denk,6.12.1961,Altenhofer Weg 119,60314,Frankfurt am Main,069 / 17570969,0152 / 2640403,069 / 73546472,juergen.denk@mail.xyz,ja
28,Herr,Dr.,Konstantin,Malinowski,11.5.1952,Dreizehnerstr. 82,46244,Bottrop,02041 / 21535447,0152 / 9878985,02041 / 8631639,k.malinowski@mail.xyz,ja
29,Herr,Dr.,Mohamed,Neitzel,14.2.1950,Am Dornbusch 14,54570,Hinterweiler,06592 / 37103094,0168 / 4124844,06592 / 73965816,mohamed.neitzel@mail.xyz,ja
30,Frau,Dr.,Mandy,Jacobs,21.3.1984,Schützenstr. 60,80639,München,089 / 70308461,0156 / 9899335,089 / 88081975,m.jacobs@mail.xyz,ja
31,Herr,Dr.,Wolfgang,Klotz,27.5.1982,Gescherweg 195,91364,Unterleinleiter,09194 / 36287496,0163 / 7513836,09194 / 86878206,wolfgang.klotz@mail.xyz,ja
32,Herr,Dr.,Luk,Pratt,27.7.1978,Straßburger Weg 40,56244,Ettinghausen,06435 / 74281723,0150 / 3894225,06435 / 89192133,l.pratt@mail.xyz,ja
33,Herr,Dr.,Reiner,Ganz,13.3.2000,Erikahof 192,25554,Kleve,04821 / 37080549,0157 / 1140899,04821 / 57243801,r.ganz@mail.xyz,ja
34,Frau,Dr.,Bärbel,Hudson,3.3.1986,Friedrichstr. 55a,36355,Grebenhain,06644 / 69954617,0176 / 1183978,06644 / 61371576,baerbel.hudson@mail.xyz,ja
35,Frau,Dr.,Merle,Ries,1.9.1921,Weißenburgstr. 90,54533,Bettenfeld,06572 / 59522505,0175 / 9257362,06572 / 87763152,merle.ries@mail.xyz,ja
36,Herr,Prof.,Rudolph,Hess,8.11.1993,Ostlandstr. 162,25704,Bargenstedt,04832 / 60444981,0175 / 3656533,04832 / 95120271,rudolph.hess@mail.xyz,ja
37,Frau,Dr.,Anika,Wichmann,24.7.1949,Sophienstr. 1,79801,Hohentengen am Hochrhein,07742 / 74485108,0173 / 8257164,07742 / 81756375,a.wichmann@mail.xyz,ja
38,Herr,Dr.,Kristian,Sandmann,2.5.1965,Idenbrockplatz 113,56244,Krümmel,02626 / 1364643,0157 / 5820622,02626 / 94431071,kristian.sandmann@mail.xyz,ja
39,Frau,Dr.,Swenja,Richardson,6.5.1959,Hülsebrockstr. 15,36041,Fulda,0661 / 90960649,0160 / 5132002,0661 / 75586989,swenja.richardson@mail.xyz,ja
40,Herr,Dr.,Dominic,Sutton,16.4.1975,Franz-Peter-Kürten-Weg 180,67583,Guntersblum,06249 / 51871585,0170 / 2905178,06249 / 25837699,dominic.sutton@mail.xyz,ja
41,Herr,Dr.,Falk,Obermeier,9.10.1996,Immelmannstr. 8,31033,Brüggen,05182 / 39800156,0160 / 3694020,05182 / 75110654,falk.obermeier@mail.xyz,ja
42,Herr,Dr.,Riccardo,Park,26.12.1929,Äußere Kanalstr. 86a,76706,Dettenheim,07247 / 28888473,0169 / 7307655,07247 / 46144218,r.park@mail.xyz,ja
43,Frau,Dr.,Aleyna,Ward,13.5.1966,Memmertweg 103,79423,Heitersheim,07634 / 28057595,0154 / 2142682,07634 / 56935797,aleyna.ward@mail.xyz,ja
44,Frau,Dr.,Elizabeth,Liedtke,9.7.1952,Geiststr. 1,24211,Preetz,04342 / 30303408,0171 / 7166848,04342 / 38965015,elizabeth.liedtke@mail.xyz,ja
45,Frau,Prof.,Anneke,Kuhlmann,1.8.1940,Handorfer Str. 20,06333,Ritterode,03476 / 13367796,0169 / 9175852,03476 / 98914092,anneke.kuhlmann@mail.xyz,ja
46,Herr,Dr.,Rasmus,Unger,18.1.1955,Salzmannstr. 111,49504,Lotte,05404 / 83339933,0172 / 2036991,05404 / 38225174,r.unger@mail.xyz,ja
47,Frau,Dr.,Angela,Schaller,8.2.1926,Im Sonnentau 139,77978,Schuttertal,07826 / 33384800,0164 / 1787961,07826 / 59959876,a.schaller@mail.xyz,ja
48,Frau,Dr.,Erika,Ballmann,6.9.1976,Dahlweg 47,54597,Feuerscheid,06551 / 80590091,0168 / 6512385,06551 / 71581024,erika.ballmann@mail.xyz,ja
49,Frau,Dr.,Beate,Otterbach,4.4.1937,Wollinstr. 2,36318,Schwalmtal,06638 / 31781002,0154 / 5620165,06638 / 50319750,beate.otterbach@mail.xyz,ja
50,Frau,Dr.,Franziska,Bader,6.8.1978,Ringelnatzstr. 148,55743,Hintertiefenbach,06785 / 79467397,0160 / 3566896,06785 / 68560424,f.bader@mail.xyz,ja
51,Frau,Dr.,Elizabeth,Turner,23.12.1994,An Lyskirchen 72,88527,Unlingen,07371 / 41816062,0178 / 3204008,07371 / 2610186,elizabeth.turner@mail.xyz,ja
52,Frau,Dr.,Nina,Schwan,24.8.1989,Am Brook 190,26556,Westerholt,04975 / 45122128,0159 / 5254385,04975 / 6105512,n.schwan@mail.xyz,ja
53,Herr,Dr.,Carl,Wilken,23.12.1930,Münzstr. 16,59581,Warstein,02902 / 14990139,0177 / 6605245,02902 / 85765683,c.wilken@mail.xyz,ja
54,Herr,Prof.,Richard,Lynch,17.12.1932,Königsberger Str. 126,84180,Loiching,08731 / 28161168,0152 / 8851131,08731 / 99179372,r.lynch@mail.xyz,ja
55,Herr,Dr.,Erich,Neher,12.4.1943,Bielefelder Str. 190,85125,Kinding,08467 / 82655949,0179 / 8185254,08467 / 21845741,e.neher@mail.xyz,ja
56,Herr,Prof.,Oliver,White,16.12.1953,Guntherstr. 196,56244,Ettinghausen,06435 / 62534952,0159 / 9813855,06435 / 33321429,oliver.white@mail.xyz,ja
57,Herr,Dr.,Björn,Schäfers,24.4.1982,Zum Guten Hirten 165,09405,Gornau,03725 / 52082991,0170 / 5419446,03725 / 36228136,b.schaefers@mail.xyz,ja
58,Herr,Dr.,Lewin,Ortiz,19.7.1935,Sporckweg 102,73345,Drackenstein,07335 / 46383859,0161 / 1148256,07335 / 82906402,lewin.ortiz@mail.xyz,ja
59,Frau,Dr.,Annica,Dietz,27.8.2000,Pötterhoek 96,45141,Essen,0201 / 15123855,0150 / 6237542,0201 / 14428347,a.dietz@mail.xyz,ja
60,Frau,Dr.,Annabell,Lohmeier,8.12.1928,Soester Str. 139,25436,Tornesch,04122 / 96821983,0155 / 3955065,04122 / 39474541,annabell.lohmeier@mail.xyz,ja
61,Frau,Dr.,Nelli,Felber,16.12.1961,Franz-Peter-Kürten-Weg 9,21445,Wulfsen,04173 / 3981967,0159 / 7925056,04173 / 67262116,n.felber@mail.xyz,ja
62,Frau,Dr.,Josefine,Pratt,15.12.1933,Jakobusstr. 140,53506,Heckenbach,02643 / 89466060,0162 / 8206302,02643 / 87284928,j.pratt@mail.xyz,ja
63,Frau,Dr.,Caja,Kampe,20.12.1957,Horstmarer Landweg 82,76297,Stutensee,07249 / 70913125,0173 / 7880821,07249 / 77193571,caja.kampe@mail.xyz,ja
64,Frau,Prof.,Annalena,Hinrichs,13.7.1989,Kösliner Str. 29a,56379,Weinähr,02604 / 90717436,0158 / 7949115,02604 / 30849803,a.hinrichs@mail.xyz,ja
65,Frau,Prof.,Laura,Lohse,5.8.1945,Kurze Str. 141,55599,Wonsheim,06703 / 83244865,0171 / 2698396,06703 / 24321709,l.lohse@mail.xyz,ja
66,Herr,Dr.,Mattis,Gibson,1.8.1985,Pankokstr. 112,54426,Breit,06504 / 8446164,0156 / 4069805,06504 / 85777460,m.gibson@mail.xyz,ja
67,Herr,Dr.,Jacob,McGee,6.9.1952,Schmittingheide 62,24256,Schlesen,04303 / 58586915,0158 / 4604348,04303 / 53067484,j.mcgee@mail.xyz,ja
68,Frau,Dr.,Milena,Schramm,24.2.1946,Hofstr. 2,25782,Süderdorf,04838 / 52902331,0153 / 6060856,04838 / 61943854,milena.schramm@mail.xyz,ja
69,Frau,Dr.,Samira,Heumann,20.8.1999,Wiedehagen 169,93189,Reichenbach,09464 / 88186687,0174 / 8527984,09464 / 45617134,samira.heumann@mail.xyz,ja
70,Herr,Dr.,Justus,Moreno,27.9.1926,Kösliner Str. 137,97215,Simmershofen,09848 / 74084628,0154 / 2318230,09848 / 78772735,j.moreno@mail.xyz,ja
71,Herr,Dr.,Helmuth,Nagl,9.10.1947,Starweg 82,25842,Bargum,04672 / 41261021,0174 / 2136861,04672 / 20376557,helmuth.nagl@mail.xyz,ja
72,Herr,Dr.,Hartmut,Ray,17.7.1924,Norbertstr. 90,38542,Leiferde,05373 / 98729540,0176 / 3731398,05373 / 82230997,h.ray@mail.xyz,ja
73,Herr,Dr.,Leif,Holmes,2.7.1961,Försterstr. 71,24568,Oersdorf,04191 / 34323615,0167 / 3938639,04191 / 56578582,leif.holmes@mail.xyz,ja
74,Herr,Dr.,Silas,Harmon,16.4.1964,Janningsweg 102,24361,Holzbunge,04356 / 16685791,0157 / 7263199,04356 / 21760895,s.harmon@mail.xyz,ja
75,Frau,Dr.,Lene,Zinn,4.8.1994,Drachterstr. 8,24148,Kiel,0431 / 45726023,0151 / 7019508,0431 / 5273874,l.zinn@mail.xyz,ja
76,Herr,Dr.,Andre,Garcia,13.12.1964,Overbergstr. 129,27616,Bokel,04747 / 33061428,0159 / 1362071,04747 / 94480411,andre.garcia@mail.xyz,ja
77,Frau,Dr.,Finja,Schlegel,7.9.1922,Schiffahrter Damm 99,55765,Birkenfeld,06782 / 34986298,0165 / 6564478,06782 / 12612728,finja.schlegel@mail.xyz,ja
78,Frau,Dr.,Marah,Park,4.7.1982,Gropiusstr. 73,47509,Rheurdt,02845 / 77185912,0151 / 3327569,02845 / 47218395,m.park@mail.xyz,ja
79,Herr,Dr.,Andre,Axmann,13.4.1964,Dodostr. 81,09390,Gornsdorf,03721 / 60449486,0151 / 6823214,03721 / 73765914,a.axmann@mail.xyz,ja
80,Herr,Prof.,Willy,Schwarz,28.3.1961,Werkstattstr. 23,42111,Wuppertal,0202 / 29084436,0175 / 4361694,0202 / 66386802,willy.schwarz@mail.xyz,ja
81,Herr,Dr.,Ali,Carr,22.8.1941,Kleiner Griechenmarkt 2,21079,Hausbruch,040 / 53639156,0177 / 5107669,040 / 63458040,ali.carr@mail.xyz,ja
82,Herr,Dr.,Jörg,McCoy,5.11.1993,Hermann-Treff-Weg 77,54413,Gusenburg,06503 / 95434130,0165 / 4378519,06503 / 55017508,joerg.mccoy@mail.xyz,ja
83,Herr,Dr.,Heinz,Coleman,7.7.1959,Meinertzstr. 161,18106,Rostock,0381 / 66876981,0178 / 2255191,0381 / 95432858,h.coleman@mail.xyz,ja
84,Frau,Dr.,Karlotta,Parsons,17.9.1976,Frauenstr. 34,65520,Bad Camberg,06434 / 36879697,0151 / 5638893,06434 / 43881659,karlotta.parsons@mail.xyz,ja
85,Frau,Dr.,Karin,Haupt,24.5.1991,Hensenstr. 152,84371,Triftern,08562 / 84599268,0155 / 6195310,08562 / 52195347,k.haupt@mail.xyz,ja
86,Herr,Dr.,Oskar,Link,9.11.1977,Dodostr. 114,52072,Aachen,0241 / 10669769,0159 / 6119860,0241 / 57123823,oskar.link@mail.xyz,ja
87,Frau,Dr.,Angelina,Strickland,28.7.1931,Carossastr. 69,71120,Grafenau,07033 / 24505945,0156 / 1043378,07033 / 55054101,angelina.strickland@mail.xyz,ja
88,Frau,Dr.,Mina,Zapf,7.8.1936,Kempener Str. 30,54675,Fischbach-Oberraden,06564 / 6956713,0155 / 8929100,06564 / 46309810,m.zapf@mail.xyz,ja
89,Herr,Dr.,Niels,Heilmann,23.12.1942,Am Brook 26,90587,Tuchenbach,0911 / 92298412,0154 / 9242225,0911 / 16339513,niels.heilmann@mail.xyz,ja
90,Frau,Dr.,Anastasia,Schmid,19.5.1928,Sanddornweg 27,95447,Bayreuth,0921 / 74503567,0151 / 2691989,0921 / 77021205,a.schmid@mail.xyz,ja
91,Herr,Dr.,Stefan,Gabel,4.9.1934,Wolbecker Str. 151,27729,Vollersode,04793 / 83353920,0152 / 9253392,04793 / 87778540,stefan.gabel@mail.xyz,ja
92,Herr,Dr.,Curt,Ufer,16.6.1977,Telgenweg 59,17139,Basedow,03994 / 30077122,0163 / 2984761,03994 / 27776654,c.ufer@mail.xyz,ja
93,Frau,Dr.,Waltraut,Wille,16.8.1944,Schiffahrter Damm 14,38312,Cramme,05334 / 8705740,0166 / 6656031,05334 / 12320749,w.wille@mail.xyz,ja
94,Herr,Dr.,David,Page,19.2.1985,Hofstr. 105,79249,Merzhausen,0761 / 54522087,0167 / 2290950,0761 / 79719921,david.page@mail.xyz,ja
95,Frau,Dr.,Bettina,Kauer,20.8.1926,Kappenberger Damm 36,72070,Tübingen,07071 / 86110699,0171 / 4178834,07071 / 37289765,b.kauer@mail.xyz,ja
96,Frau,Dr.,Mandy,Zeitler,14.11.1944,Hogenbergstr. 6,38531,Rötgesbüttel,05304 / 34031732,0174 / 3961318,05304 / 24752668,m.zeitler@mail.xyz,ja
97,Frau,Dr.,Amelie,Jäckel,27.4.1976,Am Hörsterfriedhof 138,85077,Manching,08459 / 1021788,0167 / 8573702,08459 / 89707455,amelie.jaeckel@mail.xyz,ja
98,Herr,Dr.,Louis,Sperling,4.4.1935,Dreilinden 111,50181,Bedburg,02272 / 76478429,0168 / 1072429,02272 / 27778381,louis.sperling@mail.xyz,ja
99,Herr,Dr.,Dario,Hessler,12.7.1942,Ripenhorst 181,24977,Westerholz,04636 / 49019400,0157 / 2363098,04636 / 56517811,d.hessler@mail.xyz,ja
100,Frau,Prof.,Inga,Grothe,26.1.1959,Hüfferstr. 116,01877,Bischofswerda,03594 / 20924140,0166 / 4769226,03594 / 35113876,inga.grothe@mail.xyz,ja
101,Frau,Dr.,Caroline,Engler,17.5.1936,Bielefelder Str. 190,24376,Grödersby,04642 / 31324457,0172 / 6747217,04642 / 96480970,caroline.engler@mail.xyz,ja
102,Herr,Prof.,Victor,Mann,18.6.1973,Norbertstr. 120,59075,Hamm,02381 / 19672930,0173 / 4738465,02381 / 21396371,v.mann@mail.xyz,ja
103,Frau,Dr.,Ursula,Byrd,13.10.1925,Agrippastr. 30,25371,Seestermühe,04125 / 76977175,0164 / 4940440,04125 / 49319802,ursula.byrd@mail.xyz,ja
104,Herr,Dr.,Günther,Shelton,6.10.1992,Münsterstr. 135,93359,Wildenberg,09444 / 15020910,0172 / 7438184,09444 / 39451507,g.shelton@mail.xyz,ja
105,Herr,Dr.,Mirko,Schmied,4.7.1997,Stettiner Str. 149,25764,Wesselburen,04833 / 4635038,0163 / 7203921,04833 / 33153683,m.schmied@mail.xyz,ja
106,Frau,Dr.,Sandra,Salazar,1.7.1999,Studtstr. 106,64390,Erzhausen,06150 / 38916389,0151 / 6499837,06150 / 69911393,sandra.salazar@mail.xyz,ja
107,Herr,Dr.,Jannis,Thiemann,8.5.1954,Gottesweg 83,37249,Neu-Eichenberg,05504 / 95041330,0160 / 9503218,05504 / 64971210,jannis.thiemann@mail.xyz,ja
108,Frau,Prof.,Rosemarie,Denk,21.11.1973,Rohrkampstr. 146,09648,Altmittweida,03727 / 15409080,0178 / 8500375,03727 / 74147657,rosemarie.denk@mail.xyz,ja
109,Frau,Dr.,Alicia,Hillen,3.8.1969,Schiffahrter Damm 82,08349,Johanngeorgenstadt,03773 / 74233331,0153 / 5267950,03773 / 12503217,alicia.hillen@mail.xyz,ja
110,Frau,Dr.,Jessica,Heinemann,9.7.1985,Erikahof 174,40213,Düsseldorf,0211 / 9450657,0152 / 3293143,0211 / 91210919,jessica.heinemann@mail.xyz,ja
111,Herr,Prof.,Miguel,Jäkel,24.12.1995,Zum Guten Hirten 18,55618,Simmertal,06754 / 75425086,0178 / 4340435,06754 / 91989988,m.jaekel@mail.xyz,ja
112,Frau,Dr.,Nadin,Kuhlmann,1.2.1923,Gustav-Tweer-Weg 176,57612,Giesenhausen,02662 / 3316161,0152 / 9874489,02662 / 58403611,n.kuhlmann@mail.xyz,ja
113,Frau,Dr.,Céline,Hieber,10.11.1936,Catharina-Müller-Str. 108,33803,Steinhagen,05204 / 85568570,0154 / 2593677,05204 / 12339026,celine.hieber@mail.xyz,ja
114,Herr,Dr.,Dario,Hahne,5.3.1996,Am Oedingteich 50,67308,Einselthum,06351 / 86533384,0159 / 3874226,06351 / 74735907,dario.hahne@mail.xyz,ja
115,Herr,Dr.,Mathis,Guth,26.10.1945,Carossastr. 60,69123,Heidelberg,06221 / 33715933,0165 / 6091013,06221 / 79685207,m.guth@mail.xyz,ja
116,Frau,Dr.,Tara,Reiser,9.2.1953,Elsa-Brändström-Weg 170,75245,Neulingen,07237 / 28663501,0152 / 2695109,07237 / 36566931,t.reiser@mail.xyz,ja
117,Frau,Dr.,Marion,Horst,22.4.1978,Max-Winkelmann-Str. 71,25797,Wöhrden,04839 / 30308370,0157 / 5224267,04839 / 28146145,m.horst@mail.xyz,ja
118,Herr,Dr.,Meik,Clayton,19.2.1969,Am Krausen Baum 109,29416,Steinitz,03901 / 67580882,0153 / 5966950,03901 / 17573303,m.clayton@mail.xyz,ja
119,Frau,Prof.,Samantha,Hertwig,22.11.1961,Friedrichstr. 153,96164,Kemmern,09544 / 59535267,0170 / 3225039,09544 / 5554057,samantha.hertwig@mail.xyz,ja
120,Frau,Dr.,Nina,Wagenknecht,26.3.1969,Kapellenstr. 157,71126,Öschelbronn,07032 / 34299966,0159 / 1951676,07032 / 85037965,n.wagenknecht@mail.xyz,ja
121,Herr,Dr.,Henrik,Körber,28.12.1930,Am Römerhof 22,79111,Freiburg,0761 / 48717473,0161 / 7511753,0761 / 9687492,henrik.koerber@mail.xyz,ja
122,Herr,Prof.,Muhammed,Zellner,18.9.1991,Stolbergstr. 99,23779,Neukirchen,04365 / 67593885,0171 / 9271518,04365 / 55827515,m.zellner@mail.xyz,ja
123,Frau,Dr.,Erica,Williams,14.4.1995,Immelmannstr. 87,35713,Eschenburg,02770 / 12239771,0159 / 4841160,02770 / 10822851,e.williams@mail.xyz,ja
124,Frau,Dr.,Leah,Kampe,12.12.1920,Ölbergstr. 148,67746,Unterjeckenbach,06382 / 37255367,0154 / 1510238,06382 / 29406398,l.kampe@mail.xyz,ja
125,Herr,Dr.,Thomas,Parker,15.3.1922,Stettiner Str. 21,82205,Gilching,08105 / 37254831,0171 / 8404473,08105 / 44697369,t.parker@mail.xyz,ja
126,Frau,Prof.,Rike,Reeves,8.7.1953,Olpener Str. 155,48683,Ahaus,02561 / 72523704,0165 / 6723500,02561 / 4001836,rike.reeves@mail.xyz,ja
127,Frau,Dr.,Celine,Moosmann,27.4.2000,Gustav-Tweer-Weg 168,47475,Kamp-Lintfort,02842 / 8726477,0178 / 4060777,02842 / 60214074,c.moosmann@mail.xyz,ja
128,Frau,Dr.,Carin,Scheller,14.1.1936,Speestr. - 87a,79798,Jestetten,07745 / 39374762,0161 / 9588575,07745 / 54974476,c.scheller@mail.xyz,ja
129,Herr,Dr.,Carsten,Garner,11.10.1977,Horstmarer Landweg 127,74626,Bretzfeld,07946 / 24214417,0173 / 9843964,07946 / 37159338,c.garner@mail.xyz,ja
130,Herr,Dr.,Mark,Weiß,21.5.1942,Wiedehagen 98,94262,Kollnburg,09942 / 54534319,0174 / 7695386,09942 / 58202364,mark.weiss@mail.xyz,ja
131,Frau,Dr.,Mina,Williams,28.6.1978,Stettiner Str. 66,47652,Weeze,02837 / 60445241,0164 / 5765500,02837 / 70152382,mina.williams@mail.xyz,ja
132,Herr,Dr.,Quentin,Austin,12.2.1962,Elsa-Brändström-Weg 91,79739,Schwörstadt,07762 / 64500010,0155 / 6195773,07762 / 72409646,quentin.austin@mail.xyz,ja
133,Herr,Dr.,Can,Otte,19.2.1981,Methweg 63a,12049,Berlin - Neukölln,030 / 51448043,0154 / 3159220,030 / 39009328,c.otte@mail.xyz,ja
134,Herr,Dr.,Jannes,Willis,4.2.1961,Sanddornweg 40,19372,Rom,06594 / 83979492,0153 / 8352713,06594 / 91753496,j.willis@mail.xyz,ja
135,Frau,Dr.,Stella,Fitzgerald,9.6.1965,Kirchstr. 72,97080,Würzburg,0931 / 37553549,0153 / 1906974,0931 / 38641281,s.fitzgerald@mail.xyz,ja
136,Frau,Dr.,Sigrid,Wolf,26.2.1925,Kröver Str. 148,03222,Klein Radden,03542 / 34363877,0155 / 4043270,03542 / 40588129,s.wolf@mail.xyz,ja
137,Frau,Dr.,Annette,Rein,25.10.1983,Mierendorffstr. 94,74906,Bonfeld,07066 / 56327827,0152 / 2980661,07066 / 14550304,annette.rein@mail.xyz,ja
138,Herr,Dr.,Nic,Rapp,26.10.1973,Albachtener Str. 64,23911,Pogeez,04541 / 15899633,0161 / 1205931,04541 / 93480275,nic.rapp@mail.xyz,ja
139,Frau,Dr.,Ida,Michels,20.10.1944,Am Dornbusch 54,67742,Deimberg,06382 / 77859891,0159 / 5035196,06382 / 89361805,i.michels@mail.xyz,ja
140,Frau,Dr.,Katrin,Peitz,9.5.1998,Offerkämpe 22,76872,Hergersweiler,06343 / 6581187,0168 / 4560022,06343 / 53819674,k.peitz@mail.xyz,ja
141,Frau,Dr.,Carolin,Schumacher,16.3.1929,Wiedehagen 51,46286,Lembeck,02369 / 28348801,0150 / 9834699,02369 / 16343166,c.schumacher@mail.xyz,ja
142,Frau,Dr.,Kira,Soto,28.1.1932,Im Stemmen 148,73265,Dettingen unter Teck,07021 / 74335812,0171 / 7262883,07021 / 7474296,kira.soto@mail.xyz,ja
143,Herr,Dr.,Conner,Tyler,3.5.1986,Pankokstr. 113,24361,Holzbunge,04356 / 74576475,0151 / 7864895,04356 / 72536095,conner.tyler@mail.xyz,ja
144,Herr,Prof.,Chris,Pech,23.10.1942,Dauvemühle 161,24893,Taarstedt,04622 / 31431673,0176 / 2468944,04622 / 93186060,c.pech@mail.xyz,ja
145,Herr,Dr.,Meik,Kock,7.4.1999,Rottkamp 143,54675,Lahr,06564 / 81547389,0178 / 2227816,06564 / 6273706,meik.kock@mail.xyz,ja
146,Frau,Dr.,Rike,Viessmann,4.10.1961,Soester Str. 155,54558,Strohn,06592 / 40520684,0155 / 8416757,06592 / 78835931,rike.viessmann@mail.xyz,ja
147,Herr,Dr.,Kristian,Goldmann,14.10.1957,Methweg 67,91361,Pinzberg,09191 / 70207542,0170 / 9579071,09191 / 26850131,kristian.goldmann@mail.xyz,ja
148,Herr,Prof.,Sam,Underwood,14.4.1966,Wörthstr. 89,04567,Kitzscher,03433 / 80453682,0156 / 1958474,03433 / 48284623,s.underwood@mail.xyz,ja
149,Herr,Dr.,Mads,Hackbarth,16.4.1943,Neißestr. 180,86316,Friedberg,0821 / 96595842,0174 / 6574349,0821 / 49334100,mads.hackbarth@mail.xyz,ja
